id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
4916749,172.31.67.9-23.36.34.146-51146-443-6,172.31.67.9,51146,23.36.34.146,443,6,2018-03-02 16:46:12.972385,115723579,24,27,3306,12822,2696,0,137.75000000000003,554.9726393569169,1460,0,474.8888888888889,676.7433517239486,139.36658492043355,0.4407053466605971,2314471.58,4187173.646309366,10014974,1,115723561,5031459.173913043,5006100.82965869,10046632,15,115691992,4449692.0,4981605.994808413,10048626,1,4,3,0,0,1.0,1.0,492,684,0.2073907513696927,0.2333145952909043,0,2696,316.2352941176471,639.3055791477278,408711.6235294116,1,2,2,7,50,0,0,0,1.125,316.2352941176471,137.75,474.8888888888889,0,0,0,12639,9,68318918,0,64,0,251,8192,1129,15,20,42642.5,37860.02378979226,162864,31547,9598329.41666667,1393974.2848167787,10014974,5172038,-1,-1,115723579,BENIGN,-1
3757921,172.31.69.23-18.219.211.138-59518-8080-6,172.31.69.23,59518,18.219.211.138,8080,6,2018-03-02 17:51:52.280809,14502,5,5,326,129,326,0,65.2,145.79163213298628,112,0,25.8,48.74628190949541,31374.98276099849,689.5600606812853,1611.333333333333,4003.343040510019,12266,2,14095,3523.75,6150.735260926128,12742,100,13975,3493.75,5866.334822527606,12266,2,1,2,0,0,0.0,0.0,112,112,344.78003034064267,344.78003034064267,0,326,45.5,104.5660344258859,10934.055555555557,2,2,0,3,9,0,1,1,1.0,45.5,65.2,25.8,0,0,0,0,0,0,0,32,0,12,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,14502,Botnet Ares,-1
6690147,18.218.229.235-172.31.69.28-58635-80-6,18.218.229.235,58635,172.31.69.28,80,6,2018-02-21 19:02:16.124243,43370,5,5,315,935,315,0,63.0,140.87228258248675,935,0,187.0,418.1447117924607,28821.766197832603,230.57412958266085,4818.888888888889,12763.994833558618,38705,2,43368,10842.0,18639.99016451815,38705,331,43363,10840.75,18887.371360691424,39036,20,1,1,0,0,0.0,0.0,112,112,115.28706479133042,115.28706479133042,0,935,125.0,301.3303834663873,90800.0,2,2,0,2,9,0,1,1,1.0,125.0,63.0,187.0,0,0,0,0,0,0,0,31,0,93,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,43370,DDoS-HOIC,-1
1486786,172.31.64.68-172.31.0.2-62407-53-17,172.31.64.68,62407,172.31.0.2,53,17,2018-02-16 15:54:05.163950,12576,1,1,44,100,44,44,44.0,0.0,100,100,100.0,0.0,11450.381679389311,159.03307888040712,12576.0,0.0,12576,12576,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,8,8,79.51653944020356,79.51653944020356,44,100,72.0,39.59797974644666,1568.0,0,0,0,0,0,0,0,0,1.0,72.0,44.0,100.0,0,0,0,0,0,0,0,22,0,50,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
4698497,193.19.118.97-172.31.66.5-49599-3389-6,193.19.118.97,49599,172.31.66.5,3389,6,2018-02-14 23:53:57.102763,12590204,8,8,1144,1581,677,0,143.0,227.96992282817865,1173,0,197.625,406.1217050167528,216.438113314129,1.2708292891838766,839346.9333333332,2646802.2087799907,10379342,3,12590204,1798600.5714285714,3964420.5155752106,10743905,3,12428201,1775457.2857142857,3801087.068077136,10379342,162085,5,5,0,0,1.0,0.0,172,172,0.6354146445919383,0.6354146445919383,0,1173,170.3125,319.4027173230268,102018.09583333334,0,2,1,10,15,0,1,2,1.0,170.3125,143.0,197.625,0,0,0,0,0,0,0,71,0,98,8192,62856,5,20,369102.0,0.0,369102,369102,10379342.0,0.0,10379342,10379342,-1,-1,12590204,BENIGN,-1
1928506,172.31.65.39-138.197.51.123-51018-443-6,172.31.65.39,51018,138.197.51.123,443,6,2018-02-15 14:36:13.617606,17314,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,115.51345731777752,17314.0,0.0,17314,17314,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1.0,32,20,57.75672865888876,57.75672865888876,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,17314,BENIGN,-1
4676563,91.98.59.195-172.31.67.41-62054-445-6,91.98.59.195,62054,172.31.67.41,445,6,2018-02-21 15:24:56.784337,238053,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25.20447127320387,47610.6,105268.05473076816,235914,38,237969,118984.5,165486.3213214313,236001,1968,237966,118983.0,168213.6321764678,237928,38,0,0,0,0,0.0,1.0,72,72,12.602235636601934,12.602235636601934,0,0,0.0,0.0,0.0,1,2,1,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,238053,BENIGN,-1
5314245,172.31.67.59-209.85.202.154-51058-443-6,172.31.67.59,51058,209.85.202.154,443,6,2018-02-20 15:36:44.259239,63332818,10,12,559,562,188,0,55.9,72.67041274747852,111,0,46.83333333333333,39.19840751248897,17.700144023277158,0.3473712475576248,3015848.476190476,12791075.924968831,58786295,3,63198160,7022017.777777779,19478362.72168052,58920644,744,63237981,5748907.363636363,17640743.667624947,58881168,3,6,8,0,0,0.0,0.0,200,240,0.1578960216171022,0.1894752259405226,0,188,50.95454545454545,55.583037214369874,3089.474025974026,0,0,0,14,22,0,0,0,1.2,50.95454545454545,55.9,46.833333333333336,0,0,0,0,0,0,0,25,0,25,258,218,5,20,2530492.0,0.0,2530492,2530492,58786295.0,0.0,58786295,58786295,-1,-1,548384856,BENIGN,-1
3431515,193.111.198.61-172.31.67.16-4310-3389-6,193.111.198.61,4310,172.31.67.16,3389,6,2018-02-23 12:51:53.521289,90115524,14,10,1383,2276,678,0,98.78571428571428,188.7555107994012,1884,0,227.6,588.7880584537851,40.603436983843096,0.2663248121378066,3918066.260869565,17913997.377948526,86086250,5,4029243,309941.76923076925,355292.7775772055,1188813,5,90115482,10012831.333333334,28530188.023208376,86086250,67998,7,5,0,0,0.0,1.0,292,212,0.1553561404137205,0.110968671724086,0,1884,152.45833333333331,400.0004325178821,160000.34601449277,1,2,1,12,23,0,1,2,0.7142857142857143,152.45833333333334,98.78571428571428,227.6,0,0,0,0,0,0,0,57,0,94,8192,0,7,20,4029274.0,0.0,4029274,4029274,86086250.0,0.0,86086250,86086250,-1,-1,90115524,BENIGN,-1
3778646,172.31.64.84-169.254.169.254-50997-80-6,172.31.64.84,50997,169.254.169.254,80,6,2018-02-21 16:26:53.597326,60014399,6,5,97,231,97,0,16.166666666666664,39.60008417499471,231,0,46.2,103.30634056049028,5.465355072538509,0.183289346944889,6001439.9,17097279.769955777,54408578,40,60014140,12002828.0,23825863.957908567,54408578,112,60014196,15003549.0,26402760.40207972,54408921,242,1,1,0,0,0.0,0.0,132,112,0.0999760074244849,0.0833133395204041,0,231,29.818181818181817,72.79398077014085,5298.963636363636,2,2,0,2,10,0,0,0,0.8333333333333334,29.818181818181817,16.166666666666668,46.2,0,0,0,0,0,0,0,8,0,21,8192,141,1,20,31118.0,43888.70369468663,62152,84,29975952.0,34552951.0535895,54408578,5543326,-1,-1,60014399,BENIGN,-1
